Season,Velocity [m/yr.],Std,n,t,Uncertainty [m/yr.]
2001-02,1996,425.8,49,2.571,158.0
2002-03,2485.7,341.3,49,2.447,120.5
2003-04,2693.6,163.8,49,2.262,53.5
2004-05,3036.8,530.6,49,2.447,187.4
2005-06,2782.9,290.9,49,2.447,102.7
2006-07,2740.2,396.1,49,2.201,125.8
2007-08,2805.6,300.9,49,2.093,90.9
2008-09,3329.5,162.6,49,2.201,51.7
2009-10,3436.7,110.3,49,2.06,32.8
2010-11,3487.9,92.3,49,2.145,28.6
2011-12,3435.5,119.7,49,2.11,36.5
2012-13,3340.9,84.7,49,2.12,25.9
2013-14,3292.5,242.3,49,2.11,73.8
2014-15,3588.5,93.9,49,2.12,28.7
2015-16,3168.7,363.2,49,2.262,118.6
2016-17,3270.4,324.4,49,2.201,103.1
2017-18,3066.6,304.7,49,2.306,101.4
2018-19,3671.5,117,49,2.12,35.8
2019-20,3804,281,49,2.262,91.7
2020-21,4072.9,144.2,49,2.306,48.0
2021-22,3945.9,302.9,49,2.16,94.4
